,pageid,ns,por_pageid,por_ns,rwp_pageid,rwp_ns
"Астафьева, Наталья Георгиевна",756829.0,0.0,,,756829.0,0.0
"Астахова, Ах",5440223.0,0.0,,,,
"Афанасьев-Чужбинский, Александр Степанович",1624083.0,0.0,,,,
"Афанасьев, Анатолий Павлович",2457265.0,0.0,,,,
"Афанасьев, Валерий Павлович",385487.0,0.0,385487.0,0.0,,
"Ахмадулина, Белла Ахатовна",45868.0,0.0,,,45868.0,0.0
"Ахмедов, Баходыр Акмальевич",7611536.0,0.0,,,,
"Ахметьев, Иван Алексеевич",68333.0,0.0,68333.0,0.0,,
"Ачиргина, Татьяна Юрьевна",3256098.0,0.0,3256098.0,0.0,,
"Ашукин, Николай Сергеевич",634993.0,0.0,634993.0,0.0,,
"Бабаджан, Вениамин Симович",3380747.0,0.0,,,,
"Багрицкий, Всеволод Эдуардович",3628557.0,0.0,3628557.0,0.0,,
"Багрицкий, Эдуард Георгиевич",155408.0,0.0,,,,
"Багров, Виктор Александрович",3190551.0,0.0,3190551.0,0.0,,
"Баева, Антонина Антоновна",6166492.0,0.0,,,,
"Байгужинов, Кенжебек Аканович",3593429.0,0.0,,,,
"Байдак, Дмитрий Тихонович",1009569.0,0.0,,,,
"Байкин, Всеволод Сергеевич",5021662.0,0.0,,,,
"Байтов, Николай Владимирович",76642.0,0.0,76642.0,0.0,,
"Бакунин, Александр Михайлович",1271412.0,0.0,1271412.0,0.0,,
"Бакунин, Илья Модестович",2838276.0,0.0,2838276.0,0.0,,
"Балашов, Андрей Владимирович",5636458.0,0.0,5636458.0,0.0,,
"Балашов, Андрей Николаевич",5634988.0,0.0,5634988.0,0.0,,
"Балецкий, Эмиль",2058187.0,0.0,,,,
"Балин, Александр Иванович (1890—1937)",4320734.0,0.0,4320734.0,0.0,,
"Балин, Александр Иванович (1925—1988)",4325728.0,0.0,4325728.0,0.0,,
"Бальдауф, Фёдор Иванович",5347433.0,0.0,5347433.0,0.0,,
"Бальмонт, Константин Дмитриевич",90969.0,0.0,,,,
"Балясный, Борис Исаакович",5348068.0,0.0,,,,
"Банников, Павел Владимирович",5265522.0,0.0,,,,
"Баранова, Евгения Олеговна",8202292.0,0.0,,,,
"Баратынский, Евгений Абрамович",31758.0,0.0,,,,
"Бараш, Александр Максович",90336.0,0.0,,,,
"Барвенко, Владимир Владимирович",3468303.0,0.0,3468303.0,0.0,,
"Бардадым, Виталий Петрович",4008389.0,0.0,4008389.0,0.0,,
"Бардодым, Александр Викторович",2645565.0,0.0,,,,
"Баржанский, Юрий Леонидович",4092308.0,0.0,,,,
"Баринова, Елена Викторовна",160768.0,0.0,,,160768.0,0.0
"Баркас, Борис Владимирович",877240.0,0.0,,,,
"Барков, Иван Семёнович",85200.0,0.0,,,,
"Баркова, Анна Александровна",733827.0,0.0,,,,
"Барскова, Полина Юрьевна",93178.0,0.0,,,,
"Барт, Соломон",1531503.0,0.0,,,,
"Барто, Агния Львовна",45865.0,0.0,,,,
"Барто, Павел Николаевич",1760987.0,0.0,,,,
"Бару, Михаил Борисович",129257.0,0.0,129257.0,0.0,,
"Барышёв, Ефрем Ефремович",3292125.0,0.0,,,,
"Басилова, Елена Николаевна",6371534.0,0.0,,,6371534.0,0.0
"Батаев, Павел Петрович",6899185.0,0.0,6899185.0,0.0,,
"Батеньков, Гавриил Степанович",20003.0,0.0,,,,
"Батурин, Кирилл Викторович",4123979.0,0.0,,,,
"Батурин, Макс",1958959.0,0.0,1958959.0,0.0,,
"Батюшков, Константин Николаевич",123742.0,0.0,,,,
"Бауман, Андрей Леонидович",6442498.0,0.0,6442498.0,0.0,,
"Баух, Ефрем Исаакович",192328.0,0.0,,,,
"Бауэр, Владимир Гариевич",4341513.0,0.0,4341513.0,0.0,,
"Бахтерев, Игорь Владимирович",1065059.0,0.0,1065059.0,0.0,,
"Бахтурин, Константин Александрович",5938210.0,0.0,,,,
"Башкин, Василий Васильевич",1746112.0,0.0,1746112.0,0.0,,
"Башлачёв, Александр Николаевич",70985.0,0.0,,,,
"Башунов, Владимир Мефодьевич",68656.0,0.0,68656.0,0.0,,
"Беззубов, Геннадий Петрович",577100.0,0.0,,,,
"Бейлин, Григорий Борисович",7491543.0,0.0,,,,
"Белаш, Юрий Семёнович",3020117.0,0.0,3020117.0,0.0,,
"Беленсон, Александр Эммануилович",6146752.0,0.0,6146752.0,0.0,,
"Беликов, Юрий Александрович",37094.0,0.0,37094.0,0.0,,
"Белинский, Яков Львович",88623.0,0.0,,,,
"Белобоцкий, Андрей Христофорович",3316959.0,0.0,3316959.0,0.0,,
"Белов, Василий Иванович",745016.0,0.0,,,,
"Белов, Дмитрий Иванович",1903488.0,0.0,1903488.0,0.0,,
"Белозёров, Тимофей Максимович",2117687.0,0.0,,,,
"Белокрылов, Иван Александрович",4222365.0,0.0,4222365.0,0.0,,
"Белых, Александр Евгеньевич",105162.0,0.0,105162.0,0.0,,
"Беляев, Александр Владимирович",6348313.0,0.0,6348313.0,0.0,,
"Беляков, Александр Юрьевич",1019423.0,0.0,1019423.0,0.0,,
"Бенедиктов, Владимир Григорьевич",197921.0,0.0,,,,
"Беницкий, Александр Петрович",3229087.0,0.0,,,,
"Бер, Борис Владимирович",3121246.0,0.0,3121246.0,0.0,,
"Берг, Николай Васильевич",171366.0,0.0,,,,
"Берг, Фёдор Николаевич",174271.0,0.0,174271.0,0.0,,
"Бергер, Анатолий Соломонович",3964219.0,0.0,3964219.0,0.0,,
"Бердяев, Сергей Александрович (поэт)",4021350.0,0.0,,,,
"Бережков, Владимир Владимирович",59787.0,0.0,59787.0,0.0,,
"Березарк, Илья Борисович",1742450.0,0.0,1742450.0,0.0,,
"Березницкий, Евгений Николаевич",6093077.0,0.0,,,,
"Берёзов, Родион Михайлович",5974706.0,0.0,,,,
"Берестов, Валентин Дмитриевич",454396.0,0.0,454396.0,0.0,,
"Беринский, Лев Самуилович",359461.0,0.0,359461.0,0.0,,
"Беркович, Михаил Фадеевич",727183.0,0.0,727183.0,0.0,,
"Берман, Лазарь Васильевич",3325984.0,0.0,3325984.0,0.0,,
"Бершин, Ефим Львович",7181369.0,0.0,7181369.0,0.0,,
"Берязев, Владимир Алексеевич",1794847.0,0.0,1794847.0,0.0,,
"Беспощадный, Павел Григорьевич",971409.0,0.0,,,,
"Бехтеев, Сергей Сергеевич",346770.0,0.0,346770.0,0.0,,
"Бешенковская, Ольга Юрьевна",816161.0,0.0,,,816161.0,0.0
"Бзасежев, Заурбий Адамович",6754507.0,0.0,6754507.0,0.0,,
"Бикерман, Яков Осипович",1388380.0,0.0,,,,
"Бильченко, Евгения Витальевна",7139163.0,0.0,,,,
"Бирюков, Сергей Евгеньевич",100652.0,0.0,100652.0,0.0,,
"Биск, Александр Акимович",88628.0,0.0,88628.0,0.0,,
"Благинина, Елена Александровна",1494432.0,0.0,,,,
"Благов, Александр Николаевич",2907997.0,0.0,,,,
"Блажеевский, Евгений Иванович",3014513.0,0.0,3014513.0,0.0,,
"Блаженный, Вениамин Михайлович",101093.0,0.0,,,,
"Блок, Александр Александрович",1678494.0,0.0,,,,
"Блох, Раиса Ноевна",395325.0,0.0,395325.0,0.0,,
"Блынский, Дмитрий Иванович",3625328.0,0.0,3625328.0,0.0,,
"Боборыкин, Николай Николаевич (поэт)",4459062.0,0.0,,,,
"Бобринский, Пётр Андреевич",4961423.0,0.0,,,,
"Бобров, Семён Сергеевич",2425004.0,0.0,2425004.0,0.0,,
"Бобылёв, Федот Федотович",103812.0,0.0,103812.0,0.0,,
"Бобышев, Дмитрий Васильевич",80777.0,0.0,80777.0,0.0,,
"Богатков, Борис Андреевич",1559147.0,0.0,1559147.0,0.0,,
"Богатырёв, Михаил Юрьевич",3411825.0,0.0,,,,
"Богданов, Александр Алексеевич",3883313.0,0.0,,,,
"Богданов, Леон Леонидович",1271120.0,0.0,1271120.0,0.0,,
"Богданов, Пётр Иванович",7689116.0,0.0,,,,
"Богданович, Ипполит Фёдорович",88941.0,0.0,88941.0,0.0,,
"Богомолов, Владимир Максимович",3414886.0,0.0,3414886.0,0.0,,
"Богомяков, Владимир Геннадиевич",1336762.0,0.0,1336762.0,0.0,,
"Богославский, Марк Иванович",4298974.0,0.0,,,,
"Боде, Александр Адольфович",2569549.0,0.0,,,,
"Божнев, Борис Борисович",714733.0,0.0,,,,
"Бойко, Владимир Генрихович",3112550.0,0.0,3112550.0,0.0,,
"Боков, Валерий Дмитриевич",4471118.0,0.0,4471118.0,0.0,,
"Боков, Виктор Фёдорович",765908.0,0.0,,,,
"Боков, Николай Константинович",2863621.0,0.0,,,,
"Бокштейн, Илья Вениаминович",577588.0,0.0,,,,
"Болотин, Самуил Борисович",5239506.0,0.0,,,,
"Бонч-Осмоловская, Татьяна Борисовна",3190211.0,0.0,3190211.0,0.0,,
"Борн, Иван Мартынович",1532706.0,0.0,,,,
"Бородаевский, Валериан Валерианович",1640704.0,0.0,1640704.0,0.0,,
"Бородин, Василий Андреевич",6717314.0,0.0,6717314.0,0.0,,
"Борычев, Алексей Леонтьевич",5120245.0,0.0,5120245.0,0.0,,
"Бохан-Савинкова, София Дорофеевна",5027665.0,0.0,,,,
"Бочкова, Эльвира Леонидовна",4077858.0,0.0,4077858.0,0.0,,
Бранимир (автор-исполнитель),5254068.0,0.0,,,,
"Браславский, Борис Яковлевич",938225.0,0.0,938225.0,0.0,,
"Браун, Николай Леопольдович",1507382.0,0.0,1507382.0,0.0,,
"Браун, Николай Николаевич",4464491.0,0.0,4464491.0,0.0,,
"Брель, Сергей Валентинович",4489542.0,0.0,4489542.0,0.0,,
"Британ, Илья Алексеевич",3774070.0,0.0,,,,
"Британишский, Владимир Львович",714266.0,0.0,714266.0,0.0,,
"Бродский, Александр Маркович",1350811.0,0.0,,,,
"Бродский, Давид Григорьевич",3316623.0,0.0,3316623.0,0.0,,
"Бродский, Иосиф Александрович",2947.0,0.0,,,,
"Бромберг, Давид Семёнович",886650.0,0.0,886650.0,0.0,,
"Бромлей, Надежда Николаевна",3387981.0,0.0,,,,
"Брусьянин, Владимир Георгиевич",1022696.0,0.0,1022696.0,0.0,,
"Брянский, Борис Александрович",4467290.0,0.0,,,,
"Бубнов, Александр Владимирович",122199.0,0.0,122199.0,0.0,,
"Будищев, Алексей Николаевич",5297676.0,0.0,,,,
"Букин, Николай Иванович",1677315.0,0.0,1677315.0,0.0,,
"Буковская, Тамара Симоновна",6224941.0,0.0,6224941.0,0.0,,
"Булатовский, Игорь Валерьевич",157418.0,0.0,157418.0,0.0,,
"Булах-Гардина, Татьяна Дмитриевна",3783666.0,0.0,,,,
"Булгаков, Александр Иванович",7755907.0,0.0,,,,
"Булдеев, Александр Иванович",8084908.0,0.0,,,,
"Булушев, Павел Михайлович",7545088.0,0.0,,,,
"Булыгин, Павел Петрович",3378288.0,0.0,,,,
"Булычёва, Ангелина Александровна",710506.0,0.0,,,,
"Бунимович, Евгений Абрамович",81706.0,0.0,81706.0,0.0,,
"Бунин, Юлий Алексеевич",2343703.0,0.0,,,,
"Буравлёв, Евгений Сергеевич",5131416.0,0.0,5131416.0,0.0,,
"Бураго, Дмитрий Сергеевич",1102685.0,0.0,,,,
"Бурда, Семён Львович",607737.0,0.0,607737.0,0.0,,
"Буринский, Захар Алексеевич",2774645.0,0.0,2774645.0,0.0,,
"Бурихин, Игорь Николаевич",1529163.0,0.0,1529163.0,0.0,,
"Бурич, Владимир Петрович",183619.0,0.0,183619.0,0.0,,
"Буркин, Иван Афанасьевич",3625351.0,0.0,,,,
"Бурова, Наталья Павловна",6252053.0,0.0,,,,
"Бурьянов, Александр Андреевич",637719.0,0.0,637719.0,0.0,,
"Бухарова, Зоя Дмитриевна",6252383.0,0.0,,,,
"Бухбиндер, Игорь Романович",4106897.0,0.0,4106897.0,0.0,,
"Быков, Дмитрий Львович",196275.0,0.0,196275.0,0.0,,
"Быков, Пётр Васильевич",1622730.0,0.0,,,,
"Бытовой, Семён Михайлович",4630866.0,0.0,,,,
"Бяльский, Игорь Аронович",3060523.0,0.0,,,,
"Вагинов, Константин Константинович",13797.0,0.0,,,,
"Вагурина, Людмила Михайловна",1534170.0,0.0,1534170.0,0.0,,
"Вакаров, Дмитрий Онуфриевич",1267551.0,0.0,,,,
"Валиева, Юлия Мелисовна",6562687.0,0.0,6562687.0,0.0,,
"Вальков, Виталий Григорьевич",2726075.0,0.0,2726075.0,0.0,,
"Вальшонок, Зиновий Михайлович",892543.0,0.0,892543.0,0.0,,
"Ванеев, Анатолий Анатольевич",8170907.0,0.0,,,,
"Ваншенкин, Константин Яковлевич",24763.0,0.0,,,,
"Варавва, Иван Фёдорович",2718983.0,0.0,2718983.0,0.0,,
"Варламов, Игорь Валерьевич",463374.0,0.0,463374.0,0.0,,
"Василевский, Иосиф Иосифович",6821467.0,0.0,,,,
"Василевский, Николай Александрович (поэт)",1710693.0,0.0,1710693.0,0.0,,
Василий (Росляков),1751707.0,0.0,1751707.0,0.0,,
"Васильев, Павел Николаевич",883649.0,0.0,,,,
"Васильев, Сергей Александрович (поэт)",935733.0,0.0,935733.0,0.0,,
"Василькова, Ирина Васильевна",594324.0,0.0,594324.0,0.0,,
"Вассерман, Ян Карлович",1379546.0,0.0,1379546.0,0.0,,
"Васюхин, Владислав Алексеевич",4222647.0,0.0,4222647.0,0.0,,
"Ватутина, Мария Олеговна",1835813.0,0.0,1835813.0,0.0,,
"Введенский, Александр Иванович (поэт)",78206.0,0.0,,,,
"Вдовин, Иван Матвеевич",395897.0,0.0,395897.0,0.0,,
"Вебер, Вальдемар Вениаминович",622536.0,0.0,622536.0,0.0,,
"Вега, Мария",1847933.0,0.0,1847933.0,0.0,1847933.0,0.0
"Вегин, Пётр Викторович",1540059.0,0.0,1540059.0,0.0,,
"Веденяпин, Дмитрий Юрьевич",2281585.0,0.0,2281585.0,0.0,,
"Вейнберг, Пётр Исаевич",356510.0,0.0,,,,
"Вейнерт, Юрий Николаевич",1534607.0,0.0,,,,
"Векилов, Мансур Фахри оглы",4440378.0,0.0,,,,
"Величанский, Александр Леонидович",2125883.0,0.0,,,,
"Величковский, Анатолий Евгеньевич",1546506.0,0.0,,,,
"Вельяшева-Волынцева, Анна Ивановна",7532670.0,0.0,7532670.0,0.0,7532670.0,0.0
"Веневитинов, Дмитрий Владимирович",135390.0,0.0,,,,
"Вентцель, Николай Николаевич",2925369.0,0.0,,,,
"Вепрёв, Александр Иванович",7359608.0,0.0,7359608.0,0.0,,
"Вербин, Вячеслав Михайлович",3598580.0,0.0,3598580.0,0.0,,
"Вергун, Дмитрий Николаевич",895580.0,0.0,,,,
"Вермишева, Сэда Константиновна",3564844.0,0.0,,,3564844.0,0.0
"Верникова, Белла Львовна",566436.0,0.0,,,,
"Вертинский, Александр Николаевич",78716.0,0.0,,,,
"Вершинин, Лев Рэмович",310724.0,0.0,310724.0,0.0,,
"Ветров, Давид Яковлевич",1460874.0,0.0,1460874.0,0.0,,
"Вечорка, Татьяна",6615502.0,0.0,,,6615502.0,0.0
"Вечтомова, Елена Андреевна",3619907.0,0.0,,,,
"Визи, Мария Генриховна",3768569.0,0.0,,,,
"Викторов, Борис Михайлович",1297385.0,0.0,1297385.0,0.0,,
"Викулов, Сергей Васильевич (поэт)",1585247.0,0.0,1585247.0,0.0,,
"Виленский, Семён Самуилович",6232309.0,0.0,6232309.0,0.0,,
"Вилинский, Дмитрий Александрович",4738854.0,0.0,,,,
"Виноградов, Леонид Аркадьевич",137458.0,0.0,137458.0,0.0,,
"Винокуров, Евгений Михайлович",1515433.0,0.0,1515433.0,0.0,,
"Винтерман, Изяслав Михайлович",1497971.0,0.0,,,,
"Винтман, Павел Ильич",6354541.0,0.0,6354541.0,0.0,,
Виталий Дубенский,2168879.0,0.0,,,,
"Витухновская, Алина Александровна",241801.0,0.0,,,241801.0,0.0
"Вишневецкий, Игорь Георгиевич",84790.0,0.0,84790.0,0.0,,
"Вишневский, Владимир Петрович",1134970.0,0.0,1134970.0,0.0,,
"Вишняков, Михаил Евсеевич",3200719.0,0.0,3200719.0,0.0,,
"Вишняков, Николай Петрович (писатель)",7961999.0,0.0,,,,
"Владимиров, Юрий Дмитриевич",7805222.0,0.0,,,,
"Владимирова, Елена Львовна",5506055.0,0.0,,,5506055.0,0.0
Лия Владимирова,1606595.0,0.0,,,,
"Владычина, Галина Леонидовна",5036453.0,0.0,,,5036453.0,0.0
"Влодов, Юрий Александрович",5340621.0,0.0,5340621.0,0.0,,
"Воденников, Дмитрий Борисович",90014.0,0.0,,,,
"Воейков, Александр Фёдорович",589731.0,0.0,,,,
"Вознесенский, Александр Сергеевич",700899.0,0.0,,,,
"Вознесенский, Андрей Андреевич",45859.0,0.0,,,,
"Воинов, Иван Авксентьевич",2163267.0,0.0,2163267.0,0.0,,
"Войцеховская, Элина Анатольевна",826237.0,0.0,,,,
"Волгин, Игорь Леонидович",1415328.0,0.0,1415328.0,0.0,,
"Волков, Владимир Григорьевич",1728075.0,0.0,1728075.0,0.0,,
"Волков, Иван Евгеньевич",2535595.0,0.0,2535595.0,0.0,,
"Волкова, Анна Алексеевна",8269174.0,0.0,,,,
"Воловик, Михаил Яковлевич",5010645.0,0.0,5010645.0,0.0,,
"Володарский, Леонид Александрович",3044392.0,0.0,,,,
"Володимерова, Лариса Вадимовна",1162031.0,0.0,,,,
"Володин, Михаил Яковлевич",6757854.0,0.0,,,,
"Волохонский, Анри Гиршевич",88403.0,0.0,88403.0,0.0,,
"Волошин, Максимилиан Александрович",123272.0,0.0,,,,
"Волчек, Дмитрий Борисович",154106.0,0.0,154106.0,0.0,,
"Волькенштейн, Владимир Михайлович",712518.0,0.0,,,,
"Вольф, Сергей Евгеньевич",153859.0,0.0,153859.0,0.0,,
"Воронин, Иван Григорьевич",4235253.0,0.0,4235253.0,0.0,,
"Воронко, Иосиф Яковлевич",268059.0,0.0,,,,
"Воронов, Валерий Вениаминович",3046093.0,0.0,3046093.0,0.0,,
"Воронов, Николай Павлович",360860.0,0.0,360860.0,0.0,,
"Воронов, Юрий Петрович",2431871.0,0.0,2431871.0,0.0,,
"Ворошилов, Александр",393871.0,0.0,,,,
"Воскресенский, Михаил Ильич",3188663.0,0.0,,,,
"Востоков, Александр Христофорович",729388.0,0.0,,,,
"Врангель, Николай Александрович",3539798.0,0.0,,,,
"Вулф, Олег Владимирович",2763988.0,0.0,,,,
"Высоцкий, Владимир Семёнович",24738.0,0.0,,,,
"Вяземский, Пётр Андреевич",32683.0,0.0,,,,
"Вяткин, Георгий Андреевич",68659.0,0.0,,,,
"Габай, Илья Янкелевич",1683740.0,0.0,1683740.0,0.0,,
"Габбе, Пётр Андреевич",5342829.0,0.0,,,,
"Габриэль, Александр Михайлович",4056487.0,0.0,4056487.0,0.0,,
"Габриэлян, Нина Михайловна",7059778.0,0.0,7059778.0,0.0,,
"Гаврильчик, Владлен Васильевич",1325877.0,0.0,1325877.0,0.0,,
"Гаген-Торн, Нина Ивановна",655881.0,0.0,,,,
"Гадаев, Константин Лазаревич",3502891.0,0.0,3502891.0,0.0,,
"Гаджикасимов, Онегин Юсиф оглы",2273758.0,0.0,2273758.0,0.0,,
"Гайда, Геннадий Михайлович",2894493.0,0.0,,,,
"Гайдай, Александр Иович",4884917.0,0.0,,,,
"Гайдебуров, Василий Павлович",4996597.0,0.0,,,,
"Галамага, Андрей Аркадьевич",7570543.0,0.0,,,,
"Галансков, Юрий Тимофеевич",1651366.0,0.0,,,,
"Галенковский, Яков Андреевич",5833191.0,0.0,,,,
Галина Галина,3804386.0,0.0,,,,
"Галич, Александр Аркадьевич",35133.0,0.0,,,,
"Галкина, Наталья Всеволодовна",4441982.0,0.0,,,4441982.0,0.0
"Гальпер, Александр",3469789.0,0.0,,,,
"Гальперин, Владимир Абрамович",770462.0,0.0,,,,
"Гальперин, Михаил Петрович",717346.0,0.0,717346.0,0.0,,
"Гальперина, Елена Михайловна",898407.0,0.0,,,,
"Гаммер, Ефим Аронович",566121.0,0.0,,,,
"Гампер, Галина Сергеевна",2624941.0,0.0,2624941.0,0.0,,
"Гандельсман, Владимир Аркадьевич",148820.0,0.0,148820.0,0.0,,
"Гандлевский, Сергей Маркович",325855.0,0.0,325855.0,0.0,,
"Ганин, Алексей Алексеевич",1226215.0,0.0,1226215.0,0.0,,
"Гастев, Алексей Капитонович",1536228.0,0.0,1536228.0,0.0,,
"Гаталак, Пётр Петрович",898494.0,0.0,,,,
